entry_price,min_points,stop_buffer,take_profit,require_external,max_hold_bars,fill_mode,slippage_ticks,split,n_trades,expected_nt,expected_r,total_pnl_nt,mdd_nt,win_rate,profit_factor,max_margin_nt
top,20.0,3.0,opposite_liquidity,False,24,conservative,1,is,5,-175.18692000000001,-2.280162193333333,-875.9346,1217.269,0.0,0.0,35050.0
top,20.0,3.0,opposite_liquidity,False,24,optimistic,1,is,5,-175.18692000000001,-2.280162193333333,-875.9346,1217.269,0.0,0.0,35050.0
top,20.0,3.0,opposite_liquidity,False,10000,conservative,1,is,5,-175.18692000000001,-2.280162193333333,-875.9346,1217.269,0.0,0.0,35050.0
top,20.0,3.0,opposite_liquidity,False,10000,optimistic,1,is,5,-175.18692000000001,-2.280162193333333,-875.9346,1217.269,0.0,0.0,35050.0
top,20.0,3.0,opposite_liquidity,True,12,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,3.0,opposite_liquidity,True,12,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,3.0,opposite_liquidity,True,24,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,3.0,opposite_liquidity,True,24,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,3.0,opposite_liquidity,True,10000,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,3.0,opposite_liquidity,True,10000,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,5.0,2R,False,12,conservative,1,is,5,-163.18635999999998,-1.159466521937322,-815.9318,868.5686,0.2,0.059156772573419,35050.0
top,20.0,5.0,2R,False,12,optimistic,1,is,5,-163.18635999999998,-1.159466521937322,-815.9318,868.5686,0.2,0.059156772573419,35050.0
top,20.0,5.0,2R,False,24,conservative,1,is,5,-163.18635999999998,-1.159466521937322,-815.9318,868.5686,0.2,0.059156772573419,35050.0
top,20.0,5.0,2R,False,24,optimistic,1,is,5,-163.18635999999998,-1.159466521937322,-815.9318,868.5686,0.2,0.059156772573419,35050.0
top,20.0,5.0,2R,False,10000,conservative,1,is,5,-163.18635999999998,-1.159466521937322,-815.9318,868.5686,0.2,0.059156772573419,35050.0
top,20.0,5.0,2R,False,10000,optimistic,1,is,5,-163.18635999999998,-1.159466521937322,-815.9318,868.5686,0.2,0.059156772573419,35050.0
top,20.0,5.0,2R,True,12,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,5.0,2R,True,12,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,5.0,2R,True,24,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,5.0,2R,True,24,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,5.0,2R,True,10000,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,5.0,2R,True,10000,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,5.0,opposite_liquidity,False,12,conservative,1,is,5,-195.187,-1.7994793219373222,-975.9350000000001,1297.269,0.0,0.0,35050.0
top,20.0,5.0,opposite_liquidity,False,12,optimistic,1,is,5,-195.187,-1.7994793219373222,-975.9350000000001,1297.269,0.0,0.0,35050.0
top,20.0,5.0,opposite_liquidity,False,24,conservative,1,is,5,-195.187,-1.7994793219373222,-975.9350000000001,1297.269,0.0,0.0,35050.0
top,20.0,5.0,opposite_liquidity,False,24,optimistic,1,is,5,-195.187,-1.7994793219373222,-975.9350000000001,1297.269,0.0,0.0,35050.0
top,20.0,5.0,opposite_liquidity,False,10000,conservative,1,is,5,-195.187,-1.7994793219373222,-975.9350000000001,1297.269,0.0,0.0,35050.0
top,20.0,5.0,opposite_liquidity,False,10000,optimistic,1,is,5,-195.187,-1.7994793219373222,-975.9350000000001,1297.269,0.0,0.0,35050.0
top,20.0,5.0,opposite_liquidity,True,12,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,5.0,opposite_liquidity,True,12,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,5.0,opposite_liquidity,True,24,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,5.0,opposite_liquidity,True,24,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,5.0,opposite_liquidity,True,10000,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,5.0,opposite_liquidity,True,10000,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,8.0,2R,False,12,conservative,1,is,5,-175.18612,-0.8990937425287356,-875.9305999999999,958.5679999999999,0.2,0.11274321220103105,35050.0
top,20.0,8.0,2R,False,12,optimistic,1,is,5,-175.18612,-0.8990937425287356,-875.9305999999999,958.5679999999999,0.2,0.11274321220103105,35050.0
top,20.0,8.0,2R,False,24,conservative,1,is,5,-175.18612,-0.8990937425287356,-875.9305999999999,958.5679999999999,0.2,0.11274321220103105,35050.0
top,20.0,8.0,2R,False,24,optimistic,1,is,5,-175.18612,-0.8990937425287356,-875.9305999999999,958.5679999999999,0.2,0.11274321220103105,35050.0
top,20.0,8.0,2R,False,10000,conservative,1,is,5,-175.18612,-0.8990937425287356,-875.9305999999999,958.5679999999999,0.2,0.11274321220103105,35050.0
top,20.0,8.0,2R,False,10000,optimistic,1,is,5,-175.18612,-0.8990937425287356,-875.9305999999999,958.5679999999999,0.2,0.11274321220103105,35050.0
top,20.0,8.0,2R,True,12,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,8.0,2R,True,12,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,8.0,2R,True,24,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,8.0,2R,True,24,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,8.0,2R,True,10000,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,8.0,2R,True,10000,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,8.0,opposite_liquidity,False,12,conservative,1,is,5,-225.18712,-1.5241062425287357,-1125.9356,1417.269,0.0,0.0,35050.0
top,20.0,8.0,opposite_liquidity,False,12,optimistic,1,is,5,-225.18712,-1.5241062425287357,-1125.9356,1417.269,0.0,0.0,35050.0
top,20.0,8.0,opposite_liquidity,False,24,conservative,1,is,5,-225.18712,-1.5241062425287357,-1125.9356,1417.269,0.0,0.0,35050.0
top,20.0,8.0,opposite_liquidity,False,24,optimistic,1,is,5,-225.18712,-1.5241062425287357,-1125.9356,1417.269,0.0,0.0,35050.0
top,20.0,8.0,opposite_liquidity,False,10000,conservative,1,is,5,-225.18712,-1.5241062425287357,-1125.9356,1417.269,0.0,0.0,35050.0
top,20.0,8.0,opposite_liquidity,False,10000,optimistic,1,is,5,-225.18712,-1.5241062425287357,-1125.9356,1417.269,0.0,0.0,35050.0
top,20.0,8.0,opposite_liquidity,True,12,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,8.0,opposite_liquidity,True,12,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,8.0,opposite_liquidity,True,24,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,8.0,opposite_liquidity,True,24,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
